schedule_regime,budget_flops,predicted_num_params,predicted_train_tokens,predicted_val_loss,predicted_compute_proxy,predicted_token_parameter_ratio,within_n_support,within_d_support,fit_n_support_min,fit_n_support_max,fit_d_support_min,fit_d_support_max
fixed,1200000000000.0,59548.04684245648,3358632.40870235,2.564965396020902,1200000000000.0,56.40205828392875,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,2000000000000.0,78754.43482756826,4232565.874711209,2.4311196145704246,2000000000000.0002,53.74384165130958,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,3200000000000.0,101186.62735559723,5270788.712613728,2.3167221985920303,3200000000000.0,52.08977559940552,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,5000000000000.0,130008.34274308594,6409845.05879067,2.2153220191121075,5000000000000.0,49.3033364132438,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,8000000000000.0,168657.5507533159,7905565.61137017,2.11563559537049,8000000000000.0,46.873475726758954,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,13000000000000.0,218796.49279369114,9902657.208996821,2.01979069547987,13000000000000.0,45.25967067641387,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,20000000000000.0,278421.0021004547,11972276.905068612,1.9404082608688467,20000000000000.0,43.000624287491775,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,32000000000000.0,361190.69977948634,14765976.357058564,1.8594630099196239,32000000000000.0,40.88138583322735,True,True,12736.0,596256.0,1464320.0,60962816.0
fixed,50000000000000.0,459619.23474153853,18130949.93297982,1.787715030848134,50000000000000.0,39.447761456666505,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,1200000000000.0,36421.496285188994,5491262.589377228,2.5248080091098446,1200000000000.0,150.7698241274695,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,2000000000000.0,45025.65335546174,7403187.038770623,2.3998870847962324,2000000000000.0,164.421534993064,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,3200000000000.0,55128.45200822574,9674375.280005222,2.2933035802415542,3200000000000.0,175.48788198445524,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,5000000000000.0,66209.24586280233,12586358.936335756,2.1989895893087743,5000000000000.0,190.09971752913472,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,8000000000000.0,81065.19197473348,16447667.622238023,2.1064213351512393,8000000000000.0,202.89432765871274,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,13000000000000.0,99254.4963209201,21829405.689200934,2.0175736495909984,12999999999999.998,219.9336704971007,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,20000000000000.0,118061.02999642548,28233984.858799353,1.9441098496719875,20000000000000.0,239.14737030207334,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,32000000000000.0,144551.41327583036,36895753.64549611,1.8693196097697382,31999999999999.996,255.24311945046367,True,True,12736.0,596256.0,1464320.0,60962816.0
matched,50000000000000.0,173606.1817946015,48001362.8961251,1.8031382608699535,50000000000000.0,276.4957007862595,True,True,12736.0,596256.0,1464320.0,60962816.0
