budget_flops,schedule_regime,best_model_name,best_num_params,best_actual_train_tokens,best_actual_d_over_n,best_mean_val_loss,is_left_edge,is_right_edge,min_num_params_in_group,max_num_params_in_group,num_models_in_group
1200000000000.0,fixed,gpt_2l_60d,111120,1800192,16.200431965442764,2.4850026607513427,False,False,12736.0,596256.0,21
2000000000000.0,fixed,gpt_2l_60d,111120,3000320,27.000719942404608,2.446806681156158,False,False,12736.0,596256.0,21
3200000000000.0,fixed,gpt_2l_60d,111120,4800512,43.201151907847375,2.3971354722976685,False,False,12736.0,596256.0,21
5000000000000.0,fixed,gpt_2l_64d,124672,6684672,53.61806981519507,2.2588969985644023,False,False,17840.0,596256.0,20
8000000000000.0,fixed,gpt_2l_64d,124672,10696704,85.79876796714579,2.1200780351956685,False,False,23712.0,596256.0,19
13000000000000.0,fixed,gpt_3l_72d,217224,9975808,45.92405995654256,1.99473983446757,False,False,37760.0,596256.0,17
20000000000000.0,fixed,gpt_3l_72d,217224,15345664,70.64442234743859,1.8677164494991303,False,False,54880.0,596256.0,15
32000000000000.0,fixed,gpt_4l_80d,342240,15585280,45.53903693314633,1.7519846300284068,False,False,98336.0,596256.0,11
50000000000000.0,fixed,gpt_4l_96d,484416,17203200,35.513277843836704,1.659767597913742,False,False,136696.0,596256.0,7
1200000000000.0,matched,gpt_2l_32d,37760,5298176,140.31186440677965,2.4772972623507186,False,False,12736.0,596256.0,21
2000000000000.0,matched,gpt_2l_44d,64592,5160960,79.90091652216992,2.441910894711812,False,False,12736.0,596256.0,21
3200000000000.0,matched,gpt_2l_36d,45936,11612160,252.78996865203763,2.369248267014821,False,False,12736.0,596256.0,21
5000000000000.0,matched,gpt_2l_44d,64592,12902400,199.75229130542482,2.249222028255463,False,False,17840.0,596256.0,20
8000000000000.0,matched,gpt_2l_44d,64592,20643840,319.6036660886797,2.128420571486155,False,False,23712.0,596256.0,19
13000000000000.0,matched,gpt_2l_60d,111120,19499008,175.47703383729302,2.008389482895533,False,False,37760.0,596256.0,17
20000000000000.0,matched,gpt_2l_60d,111120,29999104,269.97033837293014,1.9021856367588044,False,False,54880.0,596256.0,15
32000000000000.0,matched,gpt_3l_64d,174656,30537728,174.84499816782704,1.7989458680152894,False,False,98336.0,596256.0,11
50000000000000.0,matched,gpt_4l_80d,342240,24350720,71.15100514259,1.6935014526049297,False,False,136696.0,596256.0,7
